Source Port,Dest Port,Packet Length,Packets/Time,Highest Layer,Transport Layer,target
49153,9000,535.636,33,TCP,TCP,0
49153,9001,520,22977,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9000,568,3,TCP,TCP,0
49153,9001,520,23060,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9000,568,3,TCP,TCP,0
49153,9001,520,23060,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9000,568,5,TCP,TCP,0
49153,9001,520,23058,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9000,568,3,TCP,TCP,0
49153,9001,520,23060,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9000,568,2,TCP,TCP,0
49153,9001,520,23061,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23064,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
49153,9001,520,23063,UDP,UDP,1
